"Species","n","model","aic","intercept","road","forest","roadforest"
"GOEA",255,4,384.108626567642,5.55212682309292,0.663604080714368,0.0204348923417782,NA
"GOEA",255,5,386.087877590997,5.55074942075134,0.730214735796536,0.0249486784106562,-0.167456959864658
"GRCA",7397,1,18221.6578568696,4.14409565245921,NA,NA,NA
"GRCA",7397,2,18164.9057166759,4.18702796643914,-0.101640340159202,NA,NA
"GRCA",7397,3,17119.5911500023,4.31372075851306,NA,-0.533182417222463,NA
"GRCA",7397,4,16990.906013153,4.38971249638149,-0.153466774066059,-0.561614309747758,NA
"GRCA",7397,5,16986.0809715575,4.40392707217569,-0.18474370237136,-0.592326125787625,0.0864614687726033
"GRFL",5459,1,25185.8912312298,4.20593596816492,NA,NA,NA
"GRFL",5459,2,25174.7553747864,4.19763664650186,0.0811318263990636,NA,NA
"GRFL",5459,3,25161.392009662,4.23688018367607,NA,-0.0789418524582655,NA
"GRFL",5459,4,25149.9544499083,4.22870544588346,0.0821132802775913,-0.0792442441991068,NA
"GRFL",5459,5,25146.6644157767,4.224365521914,0.136643311039243,-0.0685713415138707,-0.126061257668659
"GRPC",280,1,564.898486625686,5.97619766739155,NA,NA,NA
"GRPC",280,2,560.461934845364,5.94458569267595,7.24608302786866,NA,NA
"GRPC",280,3,562.910398432613,5.86687774529751,NA,0.346226324064124,NA
"GRPC",280,4,557.555539031159,5.82177945844646,6.31039205152733,0.380601332923456,NA
"GRPC",280,5,559.555524201654,5.82172252059458,7.23174632770334,0.38094024356817,-0.978300770169761
"GRRO",540,1,1886.16651077663,4.95167032387184,NA,NA,NA
"GRRO",540,2,1881.18618041151,4.97439636242243,-0.289752483695336,NA,NA
"GRRO",540,3,1887.41964723197,4.96833638486346,NA,-0.0645624481553429,NA
"GRRO",540,4,1882.86862880255,4.9848299411847,-0.281895369745328,-0.0423163700274116,NA
"GRRO",540,5,1884.5474945803,4.98873409771001,-0.329701563999766,-0.0582656500226521,0.124403512150516
"GRSG",76,1,463.766743608572,5.01477190252379,NA,NA,NA
"GRSG",76,2,454.533141938581,5.05932494448977,-0.906037600745878,NA,NA
"GRSG",76,3,462.71667438306,5.12622736049867,NA,-0.255331325318947,NA
"GRSG",76,4,454.596059466785,5.14862354197761,-0.855461973544578,-0.212220158005733,NA
"GRSG",76,5,451.689568786021,5.11576352140075,0.764311070819076,-0.138545391723369,-1.96966653148782
"GRSP",14446,1,105829.997780401,4.14919080032379,NA,NA,NA
"GRSP",14446,2,105827.630561999,4.14752298795301,0.0271012626886482,NA,NA
"GRSP",14446,3,105831.419207685,4.1511323531076,NA,-0.00581431864860558,NA
"GRSP",14446,4,105829.197931993,4.14912940253625,0.0263672742966574,-0.0048652561887559,NA
"GRSP",14446,5,105829.711657319,4.14850761154553,0.03634026853577,-0.00300385182484768,-0.0414959724250867
"GRVI",1715,1,8868.12680754476,4.54814214373416,NA,NA,NA
"GRVI",1715,2,8868.82518722015,4.55249402081206,-0.0527435300057059,NA,NA
"GRVI",1715,3,8863.57079872524,4.5769148029581,NA,-0.0726797175132735,NA
"GRVI",1715,4,8864.625487721,4.57988269022291,-0.0449562063369169,-0.0708559668050139,NA
"GRVI",1715,5,8866.04441662549,4.57731067462282,-0.00565567143483755,-0.0641856022728669,-0.0765443727089826
"GRWA",1331,1,8748.43303137389,4.30035946113288,NA,NA,NA
"GRWA",1331,2,8749.13617085669,4.3040734406383,-0.050072600524345,NA,NA
"GRWA",1331,3,8749.6256038354,4.28878086824598,NA,0.0230312446097979,NA
"GRWA",1331,4,8750.61520516352,4.29425113817416,-0.0445018248433205,0.0187645048668048,NA
"GRWA",1331,5,8743.24205528914,4.28385164244806,0.0520379233453591,0.0386669458319379,-0.322031880284201
"GTGR",554,1,5529.07594186442,4.99426320730899,NA,NA,NA
"GTGR",554,2,5517.50118106333,5.00840428772865,-0.289939903599754,NA,NA
"GTGR",554,3,5495.61958860223,5.0701527176801,NA,-0.25914550476271,NA
"GTGR",554,4,5484.4715965988,5.08390224597683,-0.284592803098361,-0.2580662497025,NA
"GTGR",554,5,5485.71273248078,5.08693656288489,-0.33825715303099,-0.267113077814108,0.162629794212628
"GTTO",11593,1,71653.5881996198,4.48790769074238,NA,NA,NA
"GTTO",11593,2,71611.8074282775,4.49636024753377,-0.0983507449774509,NA,NA
"GTTO",11593,3,71638.1573251404,4.50316895219354,NA,-0.0396310941601931,NA
"GTTO",11593,4,71596.0554692891,4.51155911480393,-0.0977646426406308,-0.0398666410810502,NA
"GTTO",11593,5,71584.781995652,4.5075791480107,-0.0475388259825793,-0.0297981937350057,-0.126314967674687
"GWWA",1057,1,2986.01956976352,4.48365986303729,NA,NA,NA
"GWWA",1057,2,2911.57181177145,4.62522707364336,-0.309596053009176,NA,NA
