"Species","n","model","aic","intercept","tssr","tssr2","od","od2"
"CORE",1624,6,6231.48586026074,-18.9437207500642,0,NA,0,NA
"CORE",1624,7,6233.48586026074,-18.9437207500642,0,NA,0,0
"CORE",1624,8,6233.48586026074,-18.9437207500642,0,0,0,NA
"CORE",1624,9,6235.48586026074,-18.9437207500642,0,0,0,0
"COYE",29942,1,82871.1027069861,-1.23077602909992,NA,NA,NA,NA
"COYE",29942,2,82805.8276422007,-1.22951855946922,NA,NA,1.38875148277177,NA
"COYE",29942,3,82805.1841971374,-1.22160277198,NA,NA,1.37324907534868,-3.77189939903768
"COYE",29942,4,82780.479933306,-1.22427053675421,-1.3877472577089,NA,NA,NA
"COYE",29942,5,82775.8025310325,-1.23888604727948,-1.50566359504809,4.83634599188656,NA,NA
"COYE",29942,6,82713.1797450498,-1.2230012532245,-1.40095899009163,NA,1.40423201273319,NA
"COYE",29942,7,82712.0798638431,-1.21429830457417,-1.40520351565416,NA,1.38400034995466,-4.09878460728026
"COYE",29942,8,82708.6767221631,-1.23759574659626,-1.51994357121899,4.85597522529404,1.40593728490959,NA
"COYE",29942,9,82710.3938474906,-1.237616895435,-1.54272286012328,5.03786379015918,1.49574044811701,-0.428996531847492
"CSWA",15804,1,50578.7476573301,-1.26003357833964,NA,NA,NA,NA
"CSWA",15804,2,50561.5296805204,-1.25811436694818,NA,NA,1.18883522628763,NA
"CSWA",15804,3,50561.1133897328,-1.25031210056569,NA,NA,1.12563601760837,-6.70543284062627
"CSWA",15804,4,50569.5359769082,-1.26132999571711,0.646232186715584,NA,NA,NA
"CSWA",15804,5,50567.1591108202,-1.24364891861839,0.784425237008311,-7.69339009602861,NA,NA
"CSWA",15804,6,50551.9020165426,-1.25946939173449,0.660405477846355,NA,1.20372787141305,NA
"CSWA",15804,7,50551.6666009089,-1.25203661158252,0.653948714573188,NA,1.14203501723902,-6.4575139557747
"CSWA",15804,8,50549.7750418147,-1.24238491984115,0.785533213810914,-7.43702436604709,1.19563525670226,NA
"CSWA",15804,9,50549.4680645366,-1.23441368342068,0.780083021378108,-7.53171467415102,1.13052272790199,-6.62267379428915
"CWWI",426,1,749.457093941337,-0.573705235999812,NA,NA,NA,NA
"CWWI",426,2,749.393101448435,-0.564112397707596,NA,NA,2.55481029675516,NA
"CWWI",426,3,750.332993074435,-0.603755853763907,NA,NA,2.28946699776746,35.6656008590188
"CWWI",426,4,749.598906220018,-0.577847441127048,-1.86077521202461,NA,NA,NA
"CWWI",426,5,748.000061925827,-0.615876079817924,-4.37978853054078,12.829105448374,NA,NA
